,Genome ID,Genome Name,gram,Organism Name,NCBI Taxon ID,Genome Status,Strain,Serovar,Biovar,Pathovar,MLST,Other Typing,Culture Collection,Type Strain,Completion Date,Publication,BioProject Accession,BioSample Accession,Assembly Accession,SRA Accession,GenBank Accessions,RefSeq Accessions,Sequencing Centers,Sequencing Status,Sequencing Platform,Sequencing Depth,Assembly Method,Chromosomes,Plasmids,Contigs,Genome Length,GC Content,PATRIC CDS,RefSeq CDS,Isolation Source,Isolation Source,Isolation Comments,Collection Date,Isolation Country,Geographic Location,Latitude,Longitude,Altitude,Depth,Other Environmental,Host Name,Host Gender,Host Age,Host Health,Body Sample Site,Body Sample Subsite,Other Clinical,AntiMicrobial Resistance,AntiMicrobial Resistance Evidence,Gram Stain,Cell Shape,Motility,Sporulation,Temperature Range,Optimal Temperature,Salinity,Oxygen Requirement,Habitat,Disease,Comments,Additional Metadata,Coarse Consistency,Fine Consistency,Checkm Completeness,Checkm Contamination,Genome Quality Flags,Genome Quality,Date Inserted,Date Modified
4758,495.31,Neisseria elongata strain M15910,negative,,495,Complete,M15910,,,,,,,,2018-08-01T00:00:00Z,,PRJNA428178,SAMN09704972,GCA_003351685.1,,CP031255,,Centers for Disease Control and Prevention,,PacBio,63.36362252x,HGAP v. 3,1,,1,2534634,53.913544,2854,,None,,,,,,,,,,,"Human, Homo sapiens",,,,,,,,,,,,,,,,,,,Assemblies for pathogens that are known to cause bacterial meningitis and other closely related species,collected_by:Centers for Disease Control and Prevention,97.7,97,98,3.6,,Good,2018-09-30T04:05:46.387Z,2018-09-30T04:05:46.387Z
4763,504.11,Kingella kingae strain KWG1,negative,,504,Complete,KWG1,,,,MLST.Kingella_kingae.41,,,,2015-11-10T00:00:00Z,,PRJEB9502,SAMEA3477627,GCF_001458475.1,,LN869922,,"INSERM, IAME, UMR 1137",,,,,1,,1,2140065,46.48,2464,2251,Throat,oropharynx,isolated in continental Europe whose blaTEM-1 gene was found to be chromosomically inserted for the first time in this species,2013,France,France,,,,,,"Human, Homo sapiens",,,,,,host_health_state:arthritis,,,,,,,,,,,,,We describe the genome of the first penicillinase-producing Kingella kingae strain (KWG1) isolated in continental Europe whose blaTEM-1 gene was found to be chromosomically inserted for the first time in this species.;genome length too large,,97.9,96.8,99.2,,,Good,2016-01-30T15:09:42.543Z,2016-01-30T15:09:42.543Z
4779,518.9,Bordetella bronchiseptica strain FDAARGOS_693,negative,,518,Complete,FDAARGOS_693,,,,,,FDA:FDAARGOS_693,,2020-04-12T00:00:00Z,,PRJNA231221,SAMN11056408,GCA_012273255.1,,CP050967,,US Food and Drug Administration,,Pacbio; Illumina,493.26x,canu v. 1.4,1,,1,5094150,68.322235,4808,4719,None,clinical isolate,,,USA,USA:MN,,,,,,"Human, Homo sapiens",,,,,,host_description:Not applicable,,,,,,,,,,,,,"In May 2014, the FDA and collaborators established a publicly available dAtabase for Reference Grade micrObial Sequences called FDA-ARGOS. With funding support from FDA’s Office of Counterterrorism and Emerging Threats (OCET) and DoD, the FDA-ARGOS team are initially collecting and sequencing 2000 microbes that include biothreat microorganisms, common clinical pathogens and closely related species. Currently, FDA-ARGOS microbial genomes are generated in 3 phases. Generally:  Phase 1 entails collection of a previously identified microbe and nucleic acid extraction. Phase 2, the microbial nucleic acids are sequenced and de novo assembled using Illumina and PacBio sequencing platforms at the Institute for Genome Sciences at the University of Maryland (UMD-IGS). Phase 3, the assembled genomes are vetted by an ID-NGS subject matter expert working group consisting of FDA personnel and collaborators and the data are deposited in NCBI databases.   The FDA-ARGOS genomes meet the quality metrics for reference-grade genomes for regulatory use. FDA-ARGOS reference genomes have been de novo assembled with high depth of base coverage and placed within a pre-established phylogenetic tree. Each microbial isolate in the database is covered at a minimum of 20X over 95 percent of the assembled core genome. Furthermore, sample specific metadata, raw reads, assemblies, annotation and details of the bioinformatics pipeline are available.",collected_by:Mayo Clinic,98.2,97.5,,,,Good,2020-04-26T14:32:49.347Z,2020-04-26T14:32:49.347Z
4861,519.98,Bordetella parapertussis strain CIDM-BPP2,negative,,519,Complete,CIDM-BPP2,,,,MLST.Bordetella_spp.19,,,,2021-03-16T00:00:00Z,,PRJNA695314,SAMN18200433,GCA_017357185.1,,CP071602,,Centre for Infectious Diseases and Microbiology - Public Health,,Oxford Nanopore; Illumina,72x,Flye v. 2.7b; Racon v. 1.3.1; Medaka v.,1,,1,4775256,68.101814,4614,4418,Respiratory,respiratory,,1993,Australia,Australia,,,,,,Homo sapiens,,,,,,,,,,,,,,,,,,,Genomic evaluation of Bordetella spp. originating from Australia,collected_by:Centre for Infectious Diseases and Microbiology - Public Health,99.8,99.5,,,,Good,2021-03-28T02:05:14.917Z,2021-03-28T02:05:14.917Z
5404,520.999,Bordetella pertussis strain J185,negative,,520,Complete,J185,,,,MLST.Bordetella_spp.2,,,,2019-01-09T00:00:00Z,,PRJNA279196,SAMN08136991,GCA_004007095.1,,CP025343,,Centers for Disease Control and Prevention,,PacBio RSII; Illumina HiSeq,344x,HGAP v. 3,1,,1,4106374,67.70654,4098,3925,Respiratory,,,2013,USA,USA: IN,,,,,,"Human, Homo sapiens",,,pertussis,,,,,,,,,,,,,,,,"This project is an effort by the Pertussis and Diphtheria Laboratory at the Centers for Disease Control and Prevention to study the genomic diversity of B. pertussis isolates collected in the United States. Isolates have been selected for sequencing with the intent to broadly sample representative phenotypes, genotypes, geographic locations, and disease severity. Comparative analyses of these data should shed new light on genome evolution while informing the development of novel molecular typing strategies for this important bacterial pathogen.",,99.5,98.5,,,,Good,2019-02-01T04:49:35.483Z,2019-02-01T04:49:35.483Z
5421,536.61,Chromobacterium violaceum strain FDAARGOS_635 strain Not applicable,negative,,536,Complete,Not applicable,,,,,,FDA:FDAARGOS_635,,2020-04-12T00:00:00Z,,PRJNA231221,SAMN11056350,GCA_012273555.1,,"CP050992,CP050991",,US Food and Drug Administration,,Pacbio; Illumina,753.81x,canu v. 1.4,1,1,2,4800763,65.04681,4615,4407,None,clinical isolate,,,USA,USA: KY,,,,,,"Human, Homo sapiens",,,,,,host_description:Not applicable,,,,,,,,,,,,,"In May 2014, the FDA and collaborators established a publicly available dAtabase for Reference Grade micrObial Sequences called FDA-ARGOS. With funding support from FDA’s Office of Counterterrorism and Emerging Threats (OCET) and DoD, the FDA-ARGOS team are initially collecting and sequencing 2000 microbes that include biothreat microorganisms, common clinical pathogens and closely related species. Currently, FDA-ARGOS microbial genomes are generated in 3 phases. Generally:  Phase 1 entails collection of a previously identified microbe and nucleic acid extraction. Phase 2, the microbial nucleic acids are sequenced and de novo assembled using Illumina and PacBio sequencing platforms at the Institute for Genome Sciences at the University of Maryland (UMD-IGS). Phase 3, the assembled genomes are vetted by an ID-NGS subject matter expert working group consisting of FDA personnel and collaborators and the data are deposited in NCBI databases.   The FDA-ARGOS genomes meet the quality metrics for reference-grade genomes for regulatory use. FDA-ARGOS reference genomes have been de novo assembled with high depth of base coverage and placed within a pre-established phylogenetic tree. Each microbial isolate in the database is covered at a minimum of 20X over 95 percent of the assembled core genome. Furthermore, sample specific metadata, raw reads, assemblies, annotation and details of the bioinformatics pipeline are available.",collected_by:University of Louisville,97.3,96.6,,,,Good,2020-04-26T14:36:19.314Z,2020-04-26T14:36:19.314Z
5431,545.68,Citrobacter koseri strain FDAARGOS_530 strain Not applicable,negative,,545,Complete,Not applicable,,,,,,FDA:FDAARGOS_530,,2018-11-21T00:00:00Z,,PRJNA231221,SAMN10163225,GCA_003812405.1,,CP033780,,US Food and Drug Administration,,Pacbio; Illumina,26.80x,CA v. 8.2,1,,1,4581001,53.865215,4421,4281,Respiratory,Endotracheal aspirate,,4/1/16,,,,,,,,"Human, Homo sapiens",female,8Y,,,,host_description:Not applicable,,,,,,,,,,,,,"In May 2014, the FDA and collaborators established a publicly available dAtabase for Reference Grade micrObial Sequences called FDA-ARGOS. With funding support from FDA’s Office of Counterterrorism and Emerging Threats (OCET) and DoD, the FDA-ARGOS team are initially collecting and sequencing 2000 microbes that include biothreat microorganisms, common clinical pathogens and closely related species. Currently, FDA-ARGOS microbial genomes are generated in 3 phases. Generally:  Phase 1 entails collection of a previously identified microbe and nucleic acid extraction. Phase 2, the microbial nucleic acids are sequenced and de novo assembled using Illumina and PacBio sequencing platforms at the Institute for Genome Sciences at the University of Maryland (UMD-IGS). Phase 3, the assembled genomes are vetted by an ID-NGS subject matter expert working group consisting of FDA personnel and collaborators and the data are deposited in NCBI databases.   The FDA-ARGOS genomes meet the quality metrics for reference-grade genomes for regulatory use. FDA-ARGOS reference genomes have been de novo assembled with high depth of base coverage and placed within a pre-established phylogenetic tree. Each microbial isolate in the database is covered at a minimum of 20X over 95 percent of the assembled core genome. Furthermore, sample specific metadata, raw reads, assemblies, annotation and details of the bioinformatics pipeline are available.",collected_by:Children's National Hospital,99.9,99.3,,,,Good,2018-11-30T03:11:59.553Z,2018-11-30T03:11:59.553Z
5476,546.94,Citrobacter freundii strain P10159,negative,,546,Complete,P10159,,biovar r,,MLST.Citrobacter_freundii.252,,,,2015-09-11T00:00:00Z,,PRJNA293024,SAMN03996567,GCA_001281005.1,,CP012554,NZ_CP012554.1,Beijing Institute of Microbiology and Epidemiology,,IonTorrent,112X,Newbler v. v2.9,1,,1,5080321,51.68,5024,4768,Urine,Patient urine,"isolated from urine sample of a patient with esophageal carcinoma in China on August, 2013",13-Aug,China,China,,,,,,"Human, Homo sapiens",,,esophageal carcinoma,,,,,,,,,,,C,,,,,"Citrobacter freundii strain P10159 was isolated from urine sample of a patient with esophageal carcinoma in China on August, 2013. Base on the 16S rRNA gene sequencing, VITEK 2 (BioM�rieux) and Bruker MALDI Biotyper analysis, the strain P10159 was was identified as Citrobacter freundii.",sample_type:cell,99.4,98.3,99.1,0.3,,Good,2016-01-17T17:06:05.190Z,2016-01-17T17:06:05.190Z
5483,548.624,Klebsiella aerogenes strain KA_P10_L5_03.19,negative,,548,Complete,KA_P10_L5_03.19,,,,,,,,2019-09-29T00:00:00Z,,PRJNA562727,SAMN12807522,GCA_008727695.1,,"CP044214,CP044215,CP044216",,Public Health England,,Oxford Nanopore MiniION; Illumina HiSeq,160.0x,miniasm v. 0.2 r168 dirty; Racon x 3 v.,1,2,3,5398116,54.651863,5397,5171,Stool,rectal swab,,19-Mar,United Kingdom,United Kingdom:London,,,,,,"Human, Homo sapiens",,,,,,,,,,,,,,,,,,,"This study examined the genetic environment of IMP carbapenemase genes among bacterial isolates from four London hospitals and a Welsh hospital. IMP carbapenemase genes, which hydrolyse carbapenem antibiotics, are relatively rare in the UK. However, in some hospitals they are problematic and are generally found in multiple strains and species, suggesting that they are present on mobile genetic element(s). This study examined isolates of Klebsiella pneumoniae, Klebsiella quasipneumoniae, Enterobacter cloacae complex, Klebsiella aerogenes and Citrobacter freundii in order to better understand the epidemiology of IMP positive isolates in relevant hospitals and to inform interventions to prevent further spread.",sample_type:pure culture;collected_by:London hospital,99.9,97.3,,,,Good,2019-10-27T17:10:18.163Z,2019-10-27T17:10:18.163Z
5484,549.24,Pantoea agglomerans strain FDAARGOS_160,negative,,549,Complete,FDAARGOS_160,,,,,,FDA:FDAARGOS_160,,2016-02-11T00:00:00Z,,PRJNA231221,SAMN03996307,GCF_001558735.1,"SRR2822440,SRR2822441,SRR2822442","CP014129,CP014126,CP014127,CP014128","NZ_CP014129.1,NZ_CP014126.1,NZ_CP014127.1,NZ_CP014128.1",US Food and Drug Administration,,Pacbio,24.205x,HGAP3 v. Oct 2014,1,3,4,4808813,55.06,4761,4393,Wound,Wound swab,,5/23/14,USA,USA:DC,,,,,,"Human, Homo sapiens",male,5Y,Foreign Body,,,,,,,,,,,,,,,,"FDA, in collaboration with the National Center for Biotechnology Information (NCBI), the Department of Defense (DoD) and the Institute for Genome Sciences at the University of Maryland, established a publicly available, well-curated reference database (FDA-ARGOS: dAtabase for Regulatory Grade micrObial Sequences; BioProject 231221) of regulatory-grade-quality sequences from diverse infectious microorganisms. This database, which is still growing, comprises data collected from multiple collaborators. Diagnostic test manufacturers develop sequence-based tests to identify infectious agents and/or to detect resistance or virulence markers; will use this database to advance their development programs and to support the regulatory science review of such tests. This work will facilitate the development of these tests, which are aimed at improving patient outcomes. Continued success of the database and adoption by the community is contingent on populating and curating the database, which in turn will support development of guidance and standards for clinical use of this technology. Discussions held at a relating public workshop on advancing regulatory science for high throughput sequencing devices for microbial identification and detection of antimicrobial resistance markers were essential to establish the safety and effectiveness of these devices.",collected_by:Children's National Hospital,99.6,97.4,100,,,Good,2016-03-01T20:48:05.614Z,2016-03-01T20:48:05.614Z
5528,550.642,Enterobacter cloacae strain colR/S,negative,,550,Complete,colR/S,,,,MLST.Enterobacter_cloacae.252,,,,2016-04-15T00:00:00Z,24982068,PRJNA263343,SAMN03099688,GCA_001620245.1,,"CP010512,CP010513",,Emory University,,PacBio,50.0x,Celera Assembler v. wgs-8.1,,1,2,4852104,55.55,5001,4082,Respiratory,bronchoalveolar lavage from kidney transplant patient,,2013,USA,USA: Georgia: Atlanta,,,,,,"Human, Homo sapiens",,,kidney transplant,,,,,,,,,,,,,,,,Whole genome sequence of a nosocomial pathogen isolated from the bronchoalveolar lavage of a kidney transplant patient,collected_by:Emory University,99,94.5,99.7,7.3,,Good,2016-04-28T11:47:14.879Z,2016-04-28T11:47:14.879Z
6277,562.9316,Escherichia coli strain ZH063,negative,,562,Complete,ZH063,,,,MLST.Escherichia_coli_1.131,,,,2016-02-29T00:00:00Z,,PRJNA307507,SAMN04381853,GCF_001577325.1,,"CP014522,CP014523,CP014524","NZ_CP014522.1,NZ_CP014523.1,NZ_CP014524.1",University of Minnesota,,PacBio,100x,HGAP v. 3,1,2,3,5197049,50.73,5326,5104,None,,,2002,Canada,Canada: Winnipeg,,,,,,"Human, Homo sapiens",,,,,,,,,,,,,,C,,,,,Comparative sequencing of ExPEC ST131,,99.8,98,100,0.4,,Good,2016-03-18T09:16:10.778Z,2016-03-18T09:16:10.778Z
6280,564.45,Escherichia fergusonii strain ATCC 35471,negative,,564,Complete,ATCC 35471,,,,MLST.Escherichia_coli_1.4419,,ATCC: 35471,,2019-08-22T00:00:00Z,,PRJNA218110,SAMN01916802,GCA_008064895.1,,"CP042945,CP042943,CP042944",,CDC,,PacBio,123.44X,HGAP v. 3,1,2,3,4755297,49.945988,4688,,Stool,feces,,,,,,,,,,"Human, Homo sapiens",,,,,,,,,,,,,,,,,,,PulseNet STEC genome reference library,,99,97.9,,,,Good,2019-10-01T22:00:02.529Z,2019-10-01T22:00:02.529Z
6285,569.68,Hafnia alvei strain CBA7135,negative,,569,Complete,CBA7135,,,,,,,,2018-06-18T00:00:00Z,,PRJNA390219,SAMN07206916,GCA_003253795.1,,CP021971,,Korea Food Research Institute,,PacBio,135.0x,HGAP v. 3.0,1,,1,4498956,48.888386,4161,3980,Stool,adult feces,,11/17/16,South Korea,South Korea: Bundang,,,,,,"Human, Homo sapiens",,,,,,,,,,,,,,,,,,,CBA7135 strain was isolated from Korean adult feces,sample_type:cell culture,98.9,97.3,99,,,Good,2018-07-16T07:56:18.291Z,2018-07-16T07:56:18.291Z
6318,571.99,Klebsiella oxytoca strain KoPF10,negative,,571,Complete,KoPF10,,,,MLST.Klebsiella_oxytoca.48,,,,2021-04-15T00:00:00Z,,PRJNA683049,SAMN18675296,GCA_017968865.1,,CP072914,,University of Texas at Dallas,,Illumina NextSeq; Oxford Nanopore MinION,323.5x,Unicycler v. 0.4.8,1,,1,5822988,55.015312,5656,5346,Urine,urine,,2018-05,USA,"USA: Dallas, Texas",,,,,,Homo sapiens,female,,Chronic Cystitis,,,host_description:Postmenopausal,,,,,,,,,,,,,"Recurrent Urinary Tract Infection (rUTI) poses a major health issue, especially among postmenopausal women. Klebsiella spp. account for ~15%-17% of rUTIs, with Klebsiella pneumoniae being the most prevalent. We report the complete genome sequences of six Klebsiella spp. isolates acquired from the urine of postmenopausal women diagnosed with rUTI.",collected_by:UT Southwestern Medical Center/ UT Dallas,99.2,97.1,,,,Good,2021-04-25T19:45:41.029Z,2021-04-25T19:45:41.029Z
6998,573.9779,Klebsiella pneumoniae strain kp757,negative,,573,Complete,kp757,,,,MLST.Klebsiella_pneumoniae.86,,,,2017-05-02T00:00:00Z,,PRJNA317547,SAMN04621179,,,CP015120,,USAMRIID,,PacBio,215,HGAP v. 2.3,1,,1,5264852,57.56,5174,5106,None,,,2015,USA,United States,,,,,,"Human, Homo sapiens",,,pneumonia,,,,,,,,,,,,,,,,Genomic investigation of drug-resistant isolates of Klebsiella pneumoniae,collected_by:USAMRIID,99.6,98.4,100,0.7,,Good,2017-05-29T10:10:56.599Z,2017-05-29T10:10:56.599Z
7023,582.609,Morganella morganii strain CTX51T,negative,,582,Complete,CTX51T,,,,,,,,2021-11-22T00:00:00Z,,PRJNA549513,SAMN19659029,GCA_020911745.1,,"CP076623,CP076624",,Fred Hutchinson Cancer Research Institute,,PacBio Sequel,110x,Microbial assembly v. 1,1,1,2,4193911,50.42744,4201,3863,Gut,adenocarcinoma in cecum,,,,,,,,,,Homo sapiens,,,,,,,,,,,,,,,,,,,"Complete closed genome and associated methylome efforts for bacteria grown in isolation from multiple sites across the human microbiota (oral, nasal, skin, gastrointestinal tract, reproductive tract).",sample_type:surgical resection,98,95.9,,,,Good,2021-12-24T23:46:24.910Z,2021-12-24T23:46:24.910Z
7062,584.85,Proteus mirabilis strain FDAARGOS_60,negative,,584,Complete,FDAARGOS_60,,,,,,,,2015-04-22T00:00:00Z,,PRJNA231221,SAMN02934509,GCF_000784015.1,"SRR1596450,SRR1596451,SRR1596452",JTBW01000000,,US Food and Drug Administration,,PacBio,14.22x,HGAP v. 2.0,,,1,4105509,38.91,3922,3559,Skin,Skin swab,,14-Oct-13,USA,United States,,,,,,"Human, Homo sapiens",female,16Y,Cellulitis,,,,,,,,,,,,,,,,"FDA, in collaboration with the National Center for Biotechnology Information (NCBI), the Department of Defense (DoD) and the Institute for Genome Sciences at the University of Maryland, established a publicly available, well-curated reference database (FDA-ARGOS: dAtabase for Regulatory Grade micrObial Sequences; BioProject 231221) of regulatory-grade-quality sequences from diverse infectious microorganisms. This database, which is still growing, comprises data collected from multiple collaborators. Diagnostic test manufacturers develop sequence-based tests to identify infectious agents and/or to detect resistance or virulence markers; will use this database to advance their development programs and to support the regulatory science review of such tests. This work will facilitate the development of these tests, which are aimed at improving patient outcomes. Continued success of the database and adoption by the community is contingent on populating and curating the database, which in turn will support development of guidance and standards for clinical use of this technology. Discussions held at a relating public workshop on advancing regulatory science for high throughput sequencing devices for microbial identification and detection of antimicrobial resistance markers were essential to establish the safety and effectiveness of these devices.",collected_by:Children's National Hospital;isolate:not applicable,98.7,96.9,100,0.5,,Good,2016-01-17T15:41:01.252Z,2016-01-17T15:41:01.252Z
